features,lookback,arch,lr,hidden,dropout,scaler,horizon,epochs,batch,val_MAE,val_RMSE,val_MAPE,test_MAE,test_RMSE,test_MAPE
['close'],60,stacked,0.0005,128,0.2,minmax,1,100,64,6.945444107055664,8.854469300128272,1.3456358574330807,17.34042739868164,20.02053160610416,2.873150445520878
['close'],40,stacked,0.0005,128,0.2,minmax,1,100,64,7.2810468673706055,9.00140454670695,1.4368289150297642,16.46544647216797,18.983063226284767,2.734667621552944
"['close', 'high', 'low', 'open', 'volume']",60,stacked,0.0005,128,0.2,minmax,1,100,64,7.233948230743408,9.010903852812374,1.3961462303996086,21.089740753173828,24.03393571427636,3.4512195736169815
['close'],40,stacked,0.001,128,0.2,minmax,1,100,64,7.369470119476318,9.156649948602928,1.4407641254365444,18.636550903320312,21.067052694397372,3.071393631398678
['close'],40,lstm,0.001,64,0.2,minmax,1,100,64,8.795317649841309,10.256860809455825,1.7305856570601463,19.988162994384766,22.19030709575481,3.287375718355179
"['close', 'high', 'low', 'open', 'volume']",40,stacked,0.0005,128,0.2,minmax,1,100,64,8.708218574523926,10.396535927391911,1.7074709758162498,23.669979095458984,26.333357927656962,3.880400210618973
"['close', 'high', 'low', 'open', 'volume']",60,stacked,0.001,128,0.2,minmax,1,100,64,9.323162078857422,11.186432004277687,1.7904801294207573,28.942928314208984,31.65115469081213,4.72918301820755
['close'],60,stacked,0.0005,64,0.2,minmax,1,100,64,9.738430976867676,11.935194501886073,1.8683405593037605,28.088987350463867,31.095604922686622,4.5889779925346375
['close'],40,stacked,0.0005,64,0.2,minmax,1,100,64,11.17601203918457,12.859854966171918,2.1922284737229347,27.58510398864746,30.473261885485876,4.517633467912674
['close'],40,stacked,0.001,64,0.2,minmax,1,100,64,11.607240676879883,13.465819427226837,2.2655775770545006,28.580631256103516,31.033426291070107,4.688189551234245
"['close', 'high', 'low', 'open', 'volume']",60,stacked,0.001,64,0.2,minmax,1,100,64,11.332210540771484,13.792122425182098,2.160870283842087,42.34756088256836,46.340960490052694,6.8900927901268005
['close'],60,stacked,0.001,64,0.2,minmax,1,100,64,11.846916198730469,13.80799371044241,2.2787800058722496,30.174848556518555,33.04843376938422,4.931048676371574
"['close', 'high', 'low', 'open', 'volume']",40,stacked,0.001,64,0.2,minmax,1,100,64,11.705010414123535,14.459207440574684,2.2467482835054398,44.30243682861328,48.27605402866026,7.224465161561966
"['close', 'high', 'low', 'open', 'volume']",60,stacked,0.0005,64,0.2,minmax,1,100,64,13.300020217895508,15.552236336093628,2.5500381365418434,41.44180679321289,44.863253870529306,6.759641319513321
"['close', 'high', 'low', 'open', 'volume']",40,stacked,0.0005,64,0.2,minmax,1,100,64,15.574882507324219,18.623902973407336,2.9926270246505737,56.74855422973633,61.49504553214023,9.250561892986298
"['close', 'high', 'low', 'open', 'volume']",40,lstm,0.0005,64,0.2,minmax,1,100,64,15.486004829406738,18.67054617394986,3.044596314430237,65.05081939697266,70.50112546198288,10.59485599398613
